법정동코드	법정동명
11000	서울특별시
11110	서울특별시 종로구
11140	서울특별시 중구
11170	서울특별시 용산구
11200	서울특별시 성동구
11215	서울특별시 광진구
11230	서울특별시 동대문구
11260	서울특별시 중랑구
11290	서울특별시 성북구
11305	서울특별시 강북구
11320	서울특별시 도봉구
11350	서울특별시 노원구
11380	서울특별시 은평구
11410	서울특별시 서대문구
11440	서울특별시 마포구
11470	서울특별시 양천구
11500	서울특별시 강서구
11530	서울특별시 구로구
11545	서울특별시 금천구
11560	서울특별시 영등포구
11590	서울특별시 동작구
11620	서울특별시 관악구
11650	서울특별시 서초구
11680	서울특별시 강남구
11710	서울특별시 송파구
11740	서울특별시 강동구
26000	부산광역시
26110	부산광역시 중구
26140	부산광역시 서구
26170	부산광역시 동구
26200	부산광역시 영도구
26230	부산광역시 부산진구
26260	부산광역시 동래구
26290	부산광역시 남구
26320	부산광역시 북구
26350	부산광역시 해운대구
26380	부산광역시 사하구
26410	부산광역시 금정구
26440	부산광역시 강서구
26470	부산광역시 연제구
26500	부산광역시 수영구
26530	부산광역시 사상구
26710	부산광역시 기장군
27000	대구광역시
27110	대구광역시 중구
27140	대구광역시 동구
27170	대구광역시 서구
27200	대구광역시 남구
27230	대구광역시 북구
27260	대구광역시 수성구
27290	대구광역시 달서구
27710	대구광역시 달성군
27720	대구광역시 군위군
28000	인천광역시
28110	인천광역시 중구
28140	인천광역시 동구
28177	인천광역시 미추홀구
28185	인천광역시 연수구
28200	인천광역시 남동구
28237	인천광역시 부평구
28245	인천광역시 계양구
28260	인천광역시 서구
28710	인천광역시 강화군
28720	인천광역시 옹진군
29000	광주광역시
29110	광주광역시 동구
29140	광주광역시 서구
29155	광주광역시 남구
29170	광주광역시 북구
29200	광주광역시 광산구
30000	대전광역시
30110	대전광역시 동구
30140	대전광역시 중구
30170	대전광역시 서구
30200	대전광역시 유성구
30230	대전광역시 대덕구
31000	울산광역시
31110	울산광역시 중구
31140	울산광역시 남구
31170	울산광역시 동구
31200	울산광역시 북구
31710	울산광역시 울주군
36110	세종특별자치시
41000	경기도
41110	경기도 수원시
41111	경기도 수원시 장안구
41113	경기도 수원시 권선구
41115	경기도 수원시 팔달구
41117	경기도 수원시 영통구
41130	경기도 성남시
41131	경기도 성남시 수정구
41133	경기도 성남시 중원구
41135	경기도 성남시 분당구
